"","GSM307000","GSM307012","GSM307013","GSM307018","GSM307020","GSM307023","GSM307028","GSM307030","GSM307031","GSM307032","GSM307053","GSM307072"
"211052_s_at",6.47905563082357,6.50272302057026,6.52615287101355,6.96871454488616,6.46085003674844,6.46153213531899,6.50533695645806,6.39471715567894,6.63761495783062,6.16379631849905,6.31844986215018,6.37745441727739
"211053_at",3.98826646132292,3.98002914435715,4.71282141833609,3.9849091529502,3.94466290151003,3.99692367547897,4.03017016137215,3.96852239378458,4.15740057603614,4.20811581441642,4.24982182628775,3.69703760536634
"211054_at",2.54575315247359,2.50048034063759,2.90385917854847,2.64380239060418,2.43781039009973,2.3896134902727,2.55144381235319,2.50464405648737,2.65214771412636,2.38281307648973,2.43160619022307,2.46400076360633
"211055_s_at",2.88162008345427,2.88327205994919,3.12701563370154,2.96054320188326,3.0049540642536,2.94208348030319,2.81546150618232,2.68504940639857,3.15303819159216,2.83157867587092,3.28708027515879,2.91943982071756
"211056_s_at",5.91134612957809,5.6782911445901,6.22654163804464,5.96645673626359,6.11612650142405,5.89169536952249,5.16414488451352,5.6794323278213,5.63172495507263,5.52308833384419,5.09479623830806,5.31841355673329
"211057_at",3.48494753145825,3.10603393327328,3.36449382002634,3.7908929997386,3.50335242356342,3.3708433043494,3.83358001356311,3.15051660957427,3.21337068473045,3.71640266880088,3.62301038940504,3.41130007323194
"211058_x_at",12.4099379194362,12.3541519073541,12.3885434031956,12.7751288509569,12.6159122586511,12.4492612517215,12.0034535605919,12.2228245554888,12.0035188976163,12.1432576346625,11.7346413549623,11.8703843719532
"211059_s_at",5.90669325754416,5.84507712960793,6.6114848353239,6.13102822443136,5.90383128927472,5.78753050355332,6.23703462212735,6.19241447413808,6.3065309862713,6.14856258150449,6.20004555821901,5.93028106450174
"211060_x_at",7.73645565581708,7.77556603938455,8.17946268585016,7.93829298573986,7.57847551305743,7.7672968275859,7.29460954154775,7.9106535257215,7.52051647120607,7.62501060833765,7.22827988153921,7.43272638465313
"211061_s_at",6.99919231242781,7.65474895946196,7.48866072184714,7.49642270877953,7.53632630232583,7.64508561038951,7.37588107484101,7.47902043621787,7.29202676739951,7.30598382951679,7.06332771456041,7.46382335691274
"211062_s_at",4.92110289410375,5.08035556687615,4.96289502879729,5.02981587224753,5.0896419449389,5.12707132835513,5.10189869941725,5.08986482689463,5.2225671827517,5.58719756348897,5.44730674577751,5.1939688481548
"211063_s_at",7.20057069549641,6.83398215038651,6.43291383977346,6.75784044611488,7.02690030887853,6.94326819122723,6.4154610282296,6.70169831724486,6.36303552241576,6.65251206256671,6.93946787506741,6.85806598868372
"211064_at",4.02690306094528,3.44699064627669,3.70957626773202,3.50742591721024,3.82163019481606,3.70832342181558,3.45321414311274,3.50548885830038,3.77616933677933,3.64636985014909,4.00368373514605,3.54132230723088
"211065_x_at",7.23303436165483,7.38620010712718,7.52753095322378,7.47739477968753,7.33128941276726,7.46443605413379,7.07734945241306,7.3825401159975,7.39563613673761,7.33730722359547,7.17107489079136,7.41638146326478
"211066_x_at",6.02352178036109,5.41403530209738,6.44965263904245,5.33881006807519,6.31973918981193,5.77417451574387,6.11988342219374,5.62184790313639,6.17030284564106,5.55739474508063,6.00169774140092,5.97462415198999
"211067_s_at",3.59261153209116,4.23121973885436,4.2806166112589,3.3492175973024,4.93576241021452,4.03815767126141,4.44588770631173,4.18613420199858,4.17396400858593,4.16449250431444,3.77099507410441,3.77912036252166
"211068_x_at",8.00538534579523,7.96994495343663,8.21957526654275,7.86314146792467,7.77174919443326,8.06245925823469,8.18293321767374,8.04022398671883,8.22258409963004,7.94825798422275,8.15791278240945,8.26160720492332
"211069_s_at",8.90614619938564,9.02385269970974,8.58587436542273,8.7198892983041,9.02216709049077,9.28666033406964,8.45300217196014,8.82286809300582,8.60337239285858,8.43498829452315,8.86255092551438,9.05952746441401
"211070_x_at",9.28251761009151,9.9317645854903,9.94909895938505,9.92545329924918,10.2507285944544,10.0653752062582,9.15858568665713,9.76936710418924,9.55694584472282,9.72490723617102,9.57739026551619,10.101430386204
"211071_s_at",8.48015552493855,8.04984162714431,8.43373602412421,8.22267007502683,8.58382488187942,8.32792201922308,8.2015791847141,8.33275035820182,8.59330196209375,8.37315720957186,7.60574974822552,8.42725082151038
"211072_x_at",12.4531153058421,12.3343177522315,12.4244748966842,12.7073150021679,12.6366427744668,12.4221904166011,11.9654086178467,12.2205812928362,12.0192687496206,12.065662813051,11.6622864265738,11.8660252346658
"211073_x_at",13.0714223754253,12.9815869677485,13.043618199848,12.9620955636892,12.9685210437309,12.9579447425154,12.8903466772156,13.0967039797088,13.0891574066398,13.0677407702123,12.9805403646366,12.898938614489
"211074_at",6.1015149556925,5.82003503923569,5.88335793994045,5.39349147672223,5.89858731233394,5.87374880275611,5.07875864682165,6.6063224397849,5.30576645790051,4.43606725726033,6.32644769007186,5.70376309668167
"211075_s_at",8.74171647663931,9.1831711442014,8.92205228106932,8.78115612264973,9.07023012391604,8.50622831326185,8.81951232470851,9.08281988613125,8.65710765660015,8.5945594184901,7.93814825854306,8.22609187975256
"211076_x_at",3.39867266253675,3.48163438019489,3.72766346192957,4.2406208076655,3.33318084560201,3.61783949915293,3.59691513226821,3.4267106436091,3.68566425003903,3.53843768660005,3.8197204283355,3.39449833556945
"211077_s_at",2.97775627751214,2.6184275065553,2.88501348178893,2.88180945416993,2.68605943193925,2.90906729234259,2.80382214524667,2.70104169650883,2.68435281754479,2.79019095255857,3.36060006521706,2.58527613490464
"211078_s_at",2.27505551582636,2.29502280250178,2.24441455478407,2.22229023338574,2.22823280999877,2.14747790875579,2.23566658105972,2.13846544773587,2.27872139294981,2.30378067151322,2.12019378512129,2.26560378202157
"211079_s_at",2.8046028171256,2.74528176964732,3.10849774060438,2.95127377015177,2.84203337316393,2.82847756855484,2.97438798783921,2.99751258370119,2.98478033131227,2.99751258370119,3.47323361289217,2.78865428871752
"211080_s_at",2.72792765319605,3.17620270072807,3.00220543534475,3.54393497780573,2.80716678875524,2.80308403072279,2.61631474686281,2.74254860522318,2.79898434417206,2.69286386648458,2.79148120563712,2.73029293767926
"211081_s_at",2.66796447830283,2.6069654593132,2.6642493266329,2.67450478050987,2.84395876456795,3.02349071557474,2.46072577488438,2.55351888711653,2.58820147370876,2.6652727521604,2.75848245182845,2.70567116684476
"211082_x_at",4.20476401762914,4.01888522269815,4.43110423637467,4.27357578637714,4.13454322435954,4.01364120417478,4.26355617399396,4.32896402243157,4.42605483866729,4.16498084770549,4.32388435775775,4.08116748273399
"211083_s_at",2.72396670139204,2.76940648626277,2.9112638481969,2.63612960412031,2.79001253632727,2.75588876863111,2.73830786533754,2.76755072997746,2.82602427817043,2.70015913875894,3.42223167488597,2.79938768321686
"211084_x_at",3.93732780523027,3.94986047874631,4.14311799414944,3.90435562571583,3.96782133016663,4.2879853256874,3.99033961688938,3.94310824553201,4.86225237597432,3.67505140685438,4.38043437184646,4.66937061082228
"211085_s_at",3.76912437800709,3.37131303599589,3.83517937223244,3.42302905188328,3.70629775181885,3.01821291387054,3.96166364987697,3.67670208218245,3.86714105081397,3.058190010349,3.25653898844296,3.32278737337324
"211086_x_at",3.46355710401383,3.59109926110696,3.45999196646973,3.4368635270999,3.26466399064797,3.22413120233402,3.95227911868658,4.01140177064341,3.42990446608852,3.26724606591129,3.36026489090176,3.1857761493084
"211087_x_at",3.40168503588747,3.63544995515751,3.98520864566676,4.22810597628512,3.76959440664095,4.06506591436449,3.82832649416328,3.93677381956399,3.89318757535524,3.72923606525951,3.72215333966657,3.88312101846076
"211088_s_at",2.29824447821589,2.34431770765884,2.28473408274691,2.32872993059147,2.21884225608979,2.23982912858633,2.22734110122204,2.32743713883744,2.16890136965548,2.28077205300122,2.33417970047148,2.20568621071206
"211089_s_at",3.18461546460646,2.90649136680284,3.12862394991109,3.33512879799299,2.97127069500276,3.09312104922354,3.07270125798593,3.32775317925519,3.14312521982869,3.24582196540618,3.19758215640389,2.91274541127588
"211090_s_at",5.44050717645855,4.6572693828772,4.4785396735789,4.1089288313753,4.996827751288,4.77680260689443,4.24928226512257,4.51365805400999,4.71664170134672,3.45983622907479,4.59856486836707,4.09565267327988
"211091_s_at",3.00478048811015,2.92682536987801,2.88218398171139,3.20120375641648,2.94106218031108,2.98759144468832,2.89874268590635,2.98156389491348,2.8437910330257,2.73649507329045,3.40144456494507,2.90589032016519
"211092_s_at",2.67016082098832,2.90688342202053,2.64407406222671,2.89744424898219,2.9245916544804,2.61425555549146,2.69674777248449,2.74195427112447,2.78824259754415,2.69978162435138,2.69674777248449,2.96925169850795
"211093_at",2.16460859920085,2.18219846991095,2.14619954553949,2.14454756904457,2.0313285069275,2.13464074269045,2.07572873782573,2.08462983423175,2.18088528282352,2.11578069822645,2.14014644261122,2.2112481333477
"211094_s_at",2.79626038444191,3.46872661090369,3.03413250989725,3.06067279317358,3.02304989975774,3.1570549091649,2.76410668800445,2.93202369998787,3.10676500974414,2.98973587539069,3.10042388599055,2.92903236054876
"211095_at",2.53482608037948,2.74805463098407,2.68583737708735,2.86939875453204,2.8352039408069,2.85266109337374,2.85044735196719,2.65293474057741,2.95436112116103,2.68640240621684,2.9589004329579,2.75795498901166
"211096_at",4.7449705339479,4.92426674433347,4.94837741334014,4.8959122375937,4.8911887487529,4.62489438211304,4.71345020123834,4.85961889697996,4.95862103156118,4.70523710421439,4.87931864267387,4.43382494167552
