ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1768394	1.81E-07	1.76E-08	-1.22E+01	8.9223379	-0.5544071	394025702	ARPC5	actin related protein 2/3 complex subunit 5
ILMN_2117716	1.81E-07	1.76E-08	-1.22E+01	8.9223295	-0.54211864	41152096	AKAP17A	A-kinase anchoring protein 17A
ILMN_3305938	1.81E-07	1.76E-08	-1.22E+01	8.9217701	-0.51633031	163644253	SGK1	serum/glucocorticoid regulated kinase 1
ILMN_1703743	1.81E-07	1.76E-08	1.22E+01	8.9212261	0.53054333	76159274	AATF	apoptosis antagonizing transcription factor
ILMN_1762888	1.81E-07	1.77E-08	1.22E+01	8.9192988	0.4678882	808688262	METTL21A	methyltransferase like 21A
ILMN_1715635	1.81E-07	1.77E-08	1.22E+01	8.9184504	0.42509057	50593534	ATP6V0E1	ATPase H+ transporting V0 subunit e1
ILMN_1737242	1.82E-07	1.77E-08	-1.22E+01	8.9169401	-0.50305906	166197659	C8G	"complement component 8, gamma polypeptide"
ILMN_1723536	1.82E-07	1.77E-08	-1.22E+01	8.9168776	-0.70231489	391738245	USP33	ubiquitin specific peptidase 33
ILMN_1690870	1.82E-07	1.77E-08	1.22E+01	8.9162584	0.56946056	NA		
ILMN_1813594	1.82E-07	1.77E-08	1.22E+01	8.915371	0.65264984	323362996	MOB4	"MOB family member 4, phocein"
ILMN_1795922	1.82E-07	1.78E-08	1.22E+01	8.9122147	0.73247215	145309297	ZNF830	zinc finger protein 830
ILMN_2342841	1.83E-07	1.78E-08	-1.22E+01	8.9088335	-0.43339485	300797512	AFTPH	aftiphilin
ILMN_2367418	1.83E-07	1.79E-08	-1.22E+01	8.9053525	-0.48565271	537544642	OSCAR	"osteoclast associated, immunoglobulin-like receptor"
ILMN_2382290	1.84E-07	1.79E-08	-1.22E+01	8.9028783	-0.48644496	359279857	KREMEN2	kringle containing transmembrane protein 2
ILMN_2198393	1.84E-07	1.80E-08	-1.22E+01	8.8996518	-0.54997995	323276649	KATNA1	katanin catalytic subunit A1
ILMN_1758626	1.84E-07	1.80E-08	-1.22E+01	8.8995939	-0.48419801	974005370	IDS	iduronate 2-sulfatase
ILMN_1673207	1.85E-07	1.80E-08	-1.22E+01	8.8976599	-0.51540871	NA		
ILMN_1683271	1.86E-07	1.82E-08	-1.22E+01	8.8878204	-0.51499631	169259767	TMSB4X	"thymosin beta 4, X-linked"
ILMN_1678170	1.86E-07	1.82E-08	-1.22E+01	8.887024	-0.54985141	116256328	MME	membrane metallo-endopeptidase
ILMN_1677829	1.86E-07	1.82E-08	-1.22E+01	8.8858787	-0.51631423	110227625	SLC9A6	solute carrier family 9 member A6
ILMN_1806123	1.87E-07	1.83E-08	1.22E+01	8.8806111	0.54668538	223468570	MRPL23	mitochondrial ribosomal protein L23
ILMN_1733374	1.88E-07	1.84E-08	-1.22E+01	8.877682	-0.8186547	NA		
ILMN_1714082	1.89E-07	1.85E-08	-1.22E+01	8.8720975	-0.43902385	985801723	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase
ILMN_1729546	1.89E-07	1.85E-08	-1.22E+01	8.8695048	-0.56916369	167234404	C19orf54	chromosome 19 open reading frame 54
ILMN_1763723	1.90E-07	1.86E-08	1.22E+01	8.8662779	0.54521726	1043916015	PTDSS2	phosphatidylserine synthase 2
ILMN_1653871	1.90E-07	1.86E-08	-1.22E+01	8.8626015	-0.48227929	111161293	NAMPT	nicotinamide phosphoribosyltransferase
ILMN_1768097	1.90E-07	1.86E-08	-1.22E+01	8.8618175	-0.43732585	NA		
ILMN_2412294	1.90E-07	1.86E-08	1.22E+01	8.8612304	0.53159046	61835190	GNB5	G protein subunit beta 5
ILMN_1747589	1.90E-07	1.87E-08	-1.22E+01	8.8609025	-0.69200938	29171728	HIST2H2AB	"histone cluster 2, H2ab"
ILMN_1756657	1.90E-07	1.87E-08	-1.22E+01	8.8606094	-0.51896679	527498283	TRIM7	tripartite motif containing 7
ILMN_1695576	1.90E-07	1.87E-08	1.22E+01	8.8605209	0.41732688	169403973	MRPL24	mitochondrial ribosomal protein L24
ILMN_1867588	1.90E-07	1.87E-08	1.22E+01	8.8604732	0.52114245	27844508	USP15	ubiquitin specific peptidase 15
ILMN_2148847	1.91E-07	1.87E-08	1.22E+01	8.8579882	0.45750887	217416417	AKIRIN2	akirin 2
ILMN_1662970	1.92E-07	1.88E-08	1.22E+01	8.8534366	0.67119205	160358848	ZP3	zona pellucida glycoprotein 3 (sperm receptor)
ILMN_1705515	1.92E-07	1.88E-08	-1.22E+01	8.8499664	-0.4870514	325120963	UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)
ILMN_1685909	1.92E-07	1.88E-08	-1.22E+01	8.849728	-0.52520045	133778960	TEX15	testis expressed 15
ILMN_2194009	1.92E-07	1.89E-08	1.22E+01	8.8482157	0.62726048	685504967	ABCC4	ATP binding cassette subfamily C member 4
ILMN_1738656	1.93E-07	1.89E-08	1.22E+01	8.8453551	0.4668706	217330597	GLOD4	glyoxalase domain containing 4
ILMN_3252395	1.93E-07	1.89E-08	1.22E+01	8.8440423	0.45790678	NA		
ILMN_1662232	1.93E-07	1.90E-08	-1.22E+01	8.8432502	-0.40761984	387527976	DCTN2	dynactin subunit 2
ILMN_1748077	1.93E-07	1.90E-08	-1.22E+01	8.8424661	-0.45349471	994317242	DDX59	DEAD-box helicase 59
ILMN_1681590	1.94E-07	1.90E-08	1.22E+01	8.8407425	0.47779231	NA		
ILMN_1759350	1.95E-07	1.91E-08	1.22E+01	8.8330008	0.73759326	359751476	MED27	mediator complex subunit 27
ILMN_3238751	1.95E-07	1.91E-08	-1.22E+01	8.832827	-0.46531304	374717346	PMS2P4	"PMS1 homolog 2, mismatch repair system component pseudogene 4"
ILMN_2338480	1.95E-07	1.92E-08	1.22E+01	8.8296179	0.50044519	570700823	RHOT1	ras homolog family member T1
ILMN_1701855	1.96E-07	1.92E-08	-1.22E+01	8.8292452	-0.45763087	332688253	PPP1CC	protein phosphatase 1 catalytic subunit gamma
