"ID","GEO2R_logFC","scripted_logFC","GEO2R_adjP","scripted_adjP"
"ILMN_1652429",0.00277819,0.00277818900000071,0.977,0.976604871234233
"ILMN_1652430",0.00682514,0.00682514133333356,0.937,0.936841839522526
"ILMN_1652431",2.65693055,2.656930547,1.26e-15,1.26051811874927e-15
"ILMN_1652434",0.67073201,0.670732005333334,1.17e-09,1.17096243636194e-09
"ILMN_1652436",0.02335588,0.0233558850000009,0.729,0.72939536853132
"ILMN_1652439",0.02134537,0.0213453650000002,0.789,0.788515597957946
"ILMN_1652445",-0.05534934,-0.0553493419999995,0.327,0.326737482092348
"ILMN_1652450",-0.0059425,-0.00594249633333366,0.946,0.945527295334787
"ILMN_1652456",0.67800272,0.678002717666667,1.57e-09,1.56877763748934e-09
"ILMN_1652459",0.10644753,0.106447527333335,0.373,0.373281862879064
"ILMN_1652461",0.02623536,0.026235364333334,0.714,0.713892933575707
"ILMN_1652464",-0.80133182,-0.801331824333334,2.03e-09,2.03274268104977e-09
"ILMN_1652465",-0.04851923,-0.0485192319999985,0.37,0.369956021384997
"ILMN_1652466",0.04943646,0.0494364603333333,0.402,0.40155513085708
"ILMN_1652469",0.01351584,0.0135158403333353,0.892,0.891642166286802
"ILMN_1652472",-0.27146986,-0.271469864333332,0.00022,0.000220001245800055
"ILMN_1652486",0.07630739,0.0763073936666672,0.224,0.224199295398364
"ILMN_1652487",-0.28236907,-0.282369069333333,0.000418,0.000418048432738015
"ILMN_1652488",0.00945859,0.00945859300000063,0.924,0.924201462413662
"ILMN_1652490",-0.28675395,-0.286753946000001,1.1e-05,1.10467844071569e-05
"ILMN_1652494",-0.10985634,-0.109856344666668,0.0802,0.0802297629653196
"ILMN_1652505",0.07683889,0.076838893333333,0.345,0.344776442093926
"ILMN_1652507",-0.02793485,-0.0279348496666669,0.657,0.656965676941917
"ILMN_1652512",-0.54389607,-0.543896072333332,2.01e-08,2.0130250275685e-08
"ILMN_1652521",-0.00982905,-0.00982905199999884,0.914,0.913732595260422
"ILMN_1652525",1.18780033,1.187800329,4.45e-11,4.45172743141279e-11
"ILMN_1652527",0.00516374,0.00516374399999719,0.956,0.955862186392981
"ILMN_1652533",0.14463096,0.144630963666668,0.00783,0.00782623461032227
"ILMN_1652540",-0.09715568,-0.0971556813333319,0.11,0.109971229531894
