target,candidate,n_probes,baseline_log2_expression,log2_variance_all_six,log2_variance_within_group,qualifies,distance
PPP2R5B,DEFB106B,1,7.376914524666667,-8.890796201506907,-12.139976045133796,False,0.2598061245812976
PPP2R5B,LENG8,1,7.424064005666668,-12.539978922250677,-12.246053087765972,False,0.2657677178274267
PPP2R5B,PBX4,1,7.943114015,-4.40136398606663,-11.703390331107878,True,0.26843269427369926
PPP2R5B,C22orf23,1,7.416716314666668,-7.780674283793547,-12.262055712251597,True,0.27615169475874374
PPP2R5B,LRRTM4,1,7.362775549999999,-10.992400820944738,-11.899539761507304,False,0.2795001958382724
PPP2R5B,FAM49A,1,7.7981337506666675,-4.585768603805678,-11.660697023128568,True,0.2800964665712989
PPP2R5B,DCTN1-AS1,1,7.377073108333334,-11.231490681019773,-11.869319957141846,False,0.28062078521478223
PPP2R5B,PLXDC1,1,7.3723847476666675,-8.723439350710644,-11.876566523788231,False,0.28087179326582956
PPP2R5B,CXorf67,1,7.349001400666666,-7.988417604081282,-11.922559373425715,True,0.2817006625787331
PPP2R5B,CFAP73,1,7.334597691999999,-9.936430076693716,-11.936797288571702,False,0.2871918923747502
PPP2R5B,WNT9B,1,7.444133677666667,-9.602568080458287,-11.765341007637359,False,0.2912330823936149
PPP2R5B,MIR761,1,7.561910364,-10.32206782990364,-11.690179535078691,False,0.2916524820410261
PPP2R5B,LINC00854,1,7.461650282333333,-12.22126603117602,-12.338441782917284,False,0.29221848197523603
PPP2R5B,ATP10B,1,7.318862437666667,-11.695262486147685,-11.950981887967899,False,0.29403461194830727
PPP2R5B,LOC100130872,1,7.3105037013333325,-12.088833166703681,-11.961316766077761,False,0.2974614530172124
PPP2R5B,SLC8A2,1,7.401101084333334,-9.666745081996316,-12.294807579788017,False,0.2982062826108255
PPP2R5B,NEUROG1,1,7.297207122,-12.118971327066896,-12.077744102221953,False,0.300576192981859
PPP2R5B,PGAM5,1,7.345875503333333,-5.921133309342572,-11.858868240642074,False,0.301334669221073
PPP2R5B,KIF24,1,7.698664384333334,-10.778611572722541,-11.636842806995451,False,0.30157093095688864
PPP2R5B,NEPRO,1,7.455703034333333,-9.004587206656222,-11.73515074970648,False,0.30222151964442284
PPP2R5B,ARPIN,1,7.326165487666667,-11.871926245495311,-12.19951561329652,False,0.3037188238078561
PPP2R5B,ADAM7,1,7.288302637666667,-10.350719150175989,-12.059535633209798,False,0.3052887969363373
PPP2R5B,VWA7,1,7.286517770666667,-12.246570601247955,-12.061798770604188,False,0.3064617668374005
PPP2R5B,SLC38A4,1,7.2860008636666675,-12.176318144082785,-12.051801379737135,False,0.3065548444435477
PPP2R5B,KIAA1324,1,7.31237658,-8.55888019270526,-12.18313267817098,False,0.3074950409397945
PPP2R5B,PRR20C,1,7.288920225333334,-12.42961870710424,-12.108035392762213,False,0.30828751871158777
PPP2R5B,MIR106B,1,7.286844769999999,-8.85895013361583,-11.980235731924957,False,0.3094734507670494
PPP2R5B,C1orf54,1,8.273319591,-3.9381533981223416,-12.1277352657266,True,0.3119643414928284
PPP2R5B,TP53TG1,1,7.283796900666666,-11.08199574350031,-11.968497784545825,False,0.31273582474313066
PPP2R5B,GALNT13,1,7.272062055666666,-11.921933959811032,-12.052760372083922,False,0.31521245862339203
PPP2R5B,SCARNA15,1,7.276892623999999,-9.890003351668124,-11.970072914508327,False,0.31675467831084647
PPP2R5B,VRTN,1,7.291094758,-11.742625624399103,-12.174132520737619,False,0.3179476280009085
PPP2R5B,CDON,1,7.385222634333332,-9.629343780477258,-12.323348117634918,False,0.3189676869726671
PPP2R5B,PHOX2A,1,7.270442619000001,-11.31790925813065,-12.10183930541863,False,0.31898493680948997
PPP2R5B,FUT8-AS1,1,7.280011028666666,-11.161402305908956,-12.150329936322288,False,0.3198394551327981
PPP2R5B,SLC46A1,1,7.33864342,-6.782901588634171,-11.812594733965737,False,0.32173964418356377
